Temperature - (Celsius), Year, Statistics, Country, ISO3
26.3471, 1942, May Average, Indonesia, IDN
25.9957, 1942, Jun Average, Indonesia, IDN
25.0184, 1942, Jul Average, Indonesia, IDN
25.2241, 1942, Aug Average, Indonesia, IDN
25.6732, 1942, Sep Average, Indonesia, IDN
25.8, 1942, Oct Average, Indonesia, IDN
25.8919, 1942, Nov Average, Indonesia, IDN
25.737, 1942, Dec Average, Indonesia, IDN
25.1538, 1943, Jan Average, Indonesia, IDN
25.2179, 1943, Feb Average, Indonesia, IDN
25.3344, 1943, Mar Average, Indonesia, IDN
25.4759, 1943, Apr Average, Indonesia, IDN
25.8604, 1943, May Average, Indonesia, IDN
24.9949, 1943, Jun Average, Indonesia, IDN
24.9195, 1943, Jul Average, Indonesia, IDN
25.0609, 1943, Aug Average, Indonesia, IDN
25.3215, 1943, Sep Average, Indonesia, IDN
25.4462, 1943, Oct Average, Indonesia, IDN
25.804, 1943, Nov Average, Indonesia, IDN
25.5003, 1943, Dec Average, Indonesia, IDN
25.7391, 1944, Jan Average, Indonesia, IDN
25.5751, 1944, Feb Average, Indonesia, IDN
25.6813, 1944, Mar Average, Indonesia, IDN
25.6093, 1944, Apr Average, Indonesia, IDN
25.4267, 1944, May Average, Indonesia, IDN
25.225, 1944, Jun Average, Indonesia, IDN
24.6927, 1944, Jul Average, Indonesia, IDN
24.9468, 1944, Aug Average, Indonesia, IDN
25.454, 1944, Sep Average, Indonesia, IDN
25.8605, 1944, Oct Average, Indonesia, IDN
25.8644, 1944, Nov Average, Indonesia, IDN
25.698, 1944, Dec Average, Indonesia, IDN
26.001, 1945, Jan Average, Indonesia, IDN
25.8345, 1945, Feb Average, Indonesia, IDN
25.6895, 1945, Mar Average, Indonesia, IDN
25.7763, 1945, Apr Average, Indonesia, IDN
25.7022, 1945, May Average, Indonesia, IDN
25.0533, 1945, Jun Average, Indonesia, IDN
24.7549, 1945, Jul Average, Indonesia, IDN
25.3953, 1945, Aug Average, Indonesia, IDN
25.5222, 1945, Sep Average, Indonesia, IDN
25.5345, 1945, Oct Average, Indonesia, IDN
25.7993, 1945, Nov Average, Indonesia, IDN
25.6281, 1945, Dec Average, Indonesia, IDN
26.061, 1946, Jan Average, Indonesia, IDN
25.4519, 1946, Feb Average, Indonesia, IDN
25.9385, 1946, Mar Average, Indonesia, IDN
25.826, 1946, Apr Average, Indonesia, IDN
25.4985, 1946, May Average, Indonesia, IDN
25.5587, 1946, Jun Average, Indonesia, IDN
25.7282, 1946, Jul Average, Indonesia, IDN
26.0605, 1946, Aug Average, Indonesia, IDN
25.3967, 1946, Sep Average, Indonesia, IDN
25.9343, 1946, Oct Average, Indonesia, IDN
25.9477, 1946, Nov Average, Indonesia, IDN
26.0225, 1946, Dec Average, Indonesia, IDN
26.4592, 1947, Jan Average, Indonesia, IDN
26.1579, 1947, Feb Average, Indonesia, IDN
25.8621, 1947, Mar Average, Indonesia, IDN
25.5482, 1947, Apr Average, Indonesia, IDN
26.1387, 1947, May Average, Indonesia, IDN
25.9257, 1947, Jun Average, Indonesia, IDN
25.479, 1947, Jul Average, Indonesia, IDN
